size_mean,size_std,size_min,size_25%,size_50%,size_75%,size_max,minute,ID,Unnamed: 0_mean,Unnamed: 0_std,Unnamed: 0_min,Unnamed: 0_25%,Unnamed: 0_50%,Unnamed: 0_75%,Unnamed: 0_max
2960.913209651312,11659.665908042096,27.0,27.0,27.0,1051.0,65535.0,8,./data/raw/Raw_traffic_and_movement_data/group1_order1_user2,,,,,,,
2924.5185580330576,11508.374245172648,27.0,27.0,27.0,1051.0,65535.0,9,./data/raw/Raw_traffic_and_movement_data/group1_order1_user2,,,,,,,
5048.9089444161145,15563.41373139943,27.0,27.0,27.0,1051.0,65535.0,0,./data/raw/Raw_traffic_and_movement_data/group1_order1_user3,,,,,,,
5066.681298634373,15609.695661775693,27.0,27.0,27.0,1051.0,65535.0,1,./data/raw/Raw_traffic_and_movement_data/group1_order1_user3,,,,,,,
5047.10366439644,15531.784233362674,27.0,27.0,27.0,1051.0,65535.0,2,./data/raw/Raw_traffic_and_movement_data/group1_order1_user3,,,,,,,
5008.107814653693,15440.760983156655,27.0,27.0,27.0,1051.0,65535.0,3,./data/raw/Raw_traffic_and_movement_data/group1_order1_user3,,,,,,,
5049.663756233845,15507.130066433456,27.0,27.0,27.0,1051.0,65535.0,4,./data/raw/Raw_traffic_and_movement_data/group1_order1_user3,,,,,,,
5017.046678984732,15473.554914030494,27.0,27.0,27.0,1051.0,65535.0,5,./data/raw/Raw_traffic_and_movement_data/group1_order1_user3,,,,,,,
4990.882537717364,15357.927417059604,27.0,27.0,27.0,1051.0,65535.0,6,./data/raw/Raw_traffic_and_movement_data/group1_order1_user3,,,,,,,
5040.533801329938,15548.343280322619,27.0,27.0,27.0,1051.0,65535.0,7,./data/raw/Raw_traffic_and_movement_data/group1_order1_user3,,,,,,,
5024.443098670486,15532.889620283435,27.0,27.0,27.0,1051.0,65535.0,8,./data/raw/Raw_traffic_and_movement_data/group1_order1_user3,,,,,,,
5045.3330119378015,15556.70050366921,27.0,27.0,27.0,1051.0,65535.0,9,./data/raw/Raw_traffic_and_movement_data/group1_order1_user3,,,,,,,
5148.438166048161,15690.603949692868,27.0,27.0,27.0,1051.0,65535.0,0,./data/raw/Raw_traffic_and_movement_data/group1_order1_user4,,,,,,,
5171.711643372993,15765.12426474099,27.0,27.0,27.0,1051.0,65535.0,1,./data/raw/Raw_traffic_and_movement_data/group1_order1_user4,,,,,,,
5131.936485206318,15632.171870737055,27.0,27.0,27.0,1051.0,65535.0,2,./data/raw/Raw_traffic_and_movement_data/group1_order1_user4,,,,,,,
5122.0816024967635,15611.321160323228,27.0,27.0,27.0,1051.0,65535.0,3,./data/raw/Raw_traffic_and_movement_data/group1_order1_user4,,,,,,,
5105.88450744128,15577.521006378725,27.0,27.0,27.0,1051.0,65535.0,4,./data/raw/Raw_traffic_and_movement_data/group1_order1_user4,,,,,,,
5110.081883019233,15602.440380793389,27.0,27.0,27.0,1051.0,65535.0,5,./data/raw/Raw_traffic_and_movement_data/group1_order1_user4,,,,,,,
5134.927807110173,15659.430670235479,27.0,27.0,27.0,1051.0,65535.0,6,./data/raw/Raw_traffic_and_movement_data/group1_order1_user4,,,,,,,
5121.185191300041,15626.234269096776,27.0,27.0,27.0,1051.0,65535.0,7,./data/raw/Raw_traffic_and_movement_data/group1_order1_user4,,,,,,,
5146.661011613264,15758.01752063529,27.0,27.0,27.0,1051.0,65535.0,8,./data/raw/Raw_traffic_and_movement_data/group1_order1_user4,,,,,,,
5189.258065909199,15792.242653721594,27.0,27.0,27.0,1051.0,65535.0,9,./data/raw/Raw_traffic_and_movement_data/group1_order1_user4,,,,,,,
2980.7742938312463,11671.472813336546,27.0,27.0,27.0,1051.0,65535.0,0,./data/raw/Raw_traffic_and_movement_data/group1_order1_user5,,,,,,,
2993.807374084511,11712.355795404928,27.0,27.0,27.0,1051.0,65535.0,1,./data/raw/Raw_traffic_and_movement_data/group1_order1_user5,,,,,,,
2971.6245586206405,11612.857244063256,27.0,27.0,27.0,1051.0,65535.0,2,./data/raw/Raw_traffic_and_movement_data/group1_order1_user5,,,,,,,
2965.588449085258,11608.501416559693,27.0,27.0,27.0,1051.0,65535.0,3,./data/raw/Raw_traffic_and_movement_data/group1_order1_user5,,,,,,,
2962.910257894026,11587.541700364816,27.0,27.0,27.0,1051.0,65535.0,4,./data/raw/Raw_traffic_and_movement_data/group1_order1_user5,,,,,,,
2963.70190363328,11603.057787121648,27.0,27.0,27.0,1051.0,65535.0,5,./data/raw/Raw_traffic_and_movement_data/group1_order1_user5,,,,,,,
2974.9321794314183,11636.369854508537,27.0,27.0,27.0,1051.0,65535.0,6,./data/raw/Raw_traffic_and_movement_data/group1_order1_user5,,,,,,,
2968.490841787037,11620.247631873734,27.0,27.0,27.0,1051.0,65535.0,7,./data/raw/Raw_traffic_and_movement_data/group1_order1_user5,,,,,,,
2967.6057267261144,11680.933175453325,27.0,27.0,27.0,1051.0,65535.0,8,./data/raw/Raw_traffic_and_movement_data/group1_order1_user5,,,,,,,
2979.6764782329374,11684.20391602041,27.0,27.0,27.0,1051.0,65535.0,9,./data/raw/Raw_traffic_and_movement_data/group1_order1_user5,,,,,,,
5125.719955776673,15694.162672855547,27.0,27.0,27.0,1051.0,65535.0,0,./data/raw/Raw_traffic_and_movement_data/group1_order1_user6,,,,,,,
5116.578267129269,15661.11905868728,27.0,27.0,27.0,1051.0,65535.0,1,./data/raw/Raw_traffic_and_movement_data/group1_order1_user6,,,,,,,
5008.949004660659,15397.319096434338,27.0,27.0,27.0,1051.0,65535.0,2,./data/raw/Raw_traffic_and_movement_data/group1_order1_user6,,,,,,,
